id;descricao;categoria;und_medida;created;modified;quantidade
2;Refrigerante Pitchula Guaraná 200ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
3;Rapadura 400g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
4;Água com gás 500ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
5;Tampa de bolo unid;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
6;Bandejas de bolo unid;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
7;Copo descartável pct 100und 180 ml;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
8;Pratos Descartáveis fundo pct 10;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
9;Pratinhos de isopor fechado;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
10;Avental;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
11;Tampas para pote descartável 200ml;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
12;Potes descartáveis 200ml;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
13;Açúcar 1kg;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
14;Guardanapo pct 160 und;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
15;Luvas Plásticas Descartáveis pct 100 und;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
16;Saco plástico para hambúrguer pct 100;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
17;Touca descartável;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
18;Sacolas M branca;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
19;Colher pequena pct 100 und;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
20;Colher de sobremesa pct 100 und;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
21;Pratos Descartáveis raso pct 10;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
22;Rolos de papel alumínio 45cm×7,5m;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
23;Rolos de papel alumínio 30cm×7,5m;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
24;Arroz 1kg;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
25;Palitos Longos pct 50;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
26;Presunto kg;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
27;Frisco Maracujá;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
28;Macaxeira;COZINHA;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
29;Refrigerante Laranja 2L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
30;Manteiga da Terra 280g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
31;Pão;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
32;Margarina 3kg;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
33;Fubá de milho 500 g;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
34;Farinha de tapioca 1kg;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
35;Atum em lata 120g;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
36;Poupa de fruta acerola;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
37;Catchup 830g;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
38;Saco de lixo 100ml;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
39;Orégano 10g;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
40;Tela p/ pia;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
41;Isqueiro;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
42;Refrigerante Pitchula Cola 200ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
43;Refrigerante Pitchula Uva 200ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
44;Farinha de trigo sem fermento 1kg;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
45;Milho verde com casca;COZINHA;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
46;Frango Coxinha de asa;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
47;Refrigerante Pitchula Frevo Sortido 200ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
48;Cravo Índia da Roça 20g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
49;Chocolate em pó;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
50;Castanha;COZINHA;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
51;Amendoim sem casca;TEMPEROS;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
52;Salsicha;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
53;Feijão 1kg;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
54;Osso pra carne;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
55;Fermento químico em pó 250g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
56;Bananas;HORTIFRUTI;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
57;Milho com ervilha em Sachê 260g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
58;Batata Doce;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
59;Cravo 50g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
60;Refrigerante Guaraná 2L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
61;Refrigerante Pitchula CocaCola 200ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
62;Molho de pimenta;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
63;Botijão de gás;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
64;Refrigerante Uva 2L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
65;Suco de Uva 1,5L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
66;Assadeira de Alumínio retangular;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
67;Colgate - pasta de dente 50g;LIMPEZA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
68;Maionese sachê, 1.020kg;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
69;Filme poliester;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
70;Palito dental;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
